 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Agrium Kenai Nitrogen Operations,Homer Electric Assn Inc,Agrium US Inc,Alaska Miscellaneous,60.6732,-151.3784,NG,GAS,,21.6
Alakanuk,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,62.6833,-164.6544,JF,OIL,0.099,2.6
Allison Creek Hydro,"Copper Valley Elec Assn, Inc","Copper Valley Elec Assn, Inc",Alaska Miscellaneous,61.084444,-146.353333,WAT,HYDRO,,6.5
Anchorage 1,Anchorage Municipal Light and Power,Anchorage Municipal Light and Power,Anchorage Municipal Light & Power,61.2221,-149.8661,NG,GAS,0.032,121.4
Angoon,"Inside Passage Elec Coop, Inc","Inside Passage Elec Coop, Inc",Alaska Miscellaneous,57.447778,-134.492778,DFO,OIL,0.102,1.9
Aniak,Aniak Light & Power Co Inc,Aniak Light & Power Co Inc,Alaska Miscellaneous,61.5875,-159.5317,DFO,OIL,0.15,2
Annex Creek,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3176,-134.101,WAT,HYDRO,0.781,4
Auke Bay,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Alaska Miscellaneous,58.3875,-134.6446,DFO,OIL,,36.2
Aurora Energy LLC Chena,Golden Valley Elec Assn Inc,Aurora Energy LLC,Alaska Miscellaneous,64.847743,-147.735063,SUB,COAL,0.697,31.3
Barrow,"Barrow Utils & Elec Coop, Inc","Barrow Utils & Elec Coop, Inc",Alaska Miscellaneous,71.292,-156.7786,NG,GAS,0.279,20.3
Battery Energy Storage System,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.8167,-147.725,MWH,OTHF,,27
Beaver Falls,Ketchikan Public Utilities,Ketchikan Public Utilities,Alaska Miscellaneous,55.37975,-131.470269,WAT,HYDRO,0.962,5.4
Beluga,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,61.1861,-151.0356,NG,GAS,0.371,374.4
Bernice Lake,Alaska Electric & Energy Coop,Homer Electric Assn Inc,Chugach Electric Assn Inc,60.6935,-151.3874,NG,GAS,0.026,76.7
Bethel,Bethel Utilities Corp,"Alaska Village Elec Coop, Inc",Alaska Miscellaneous,60.7897,-161.787778,DFO,OIL,0.38,12.6
Black Bear Lake,Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.476472,-133.14772,WAT,HYDRO,0.536,4.5
Bradley Lake,Alaska Energy Authority,Homer Electric Assn Inc,Chugach Electric Assn Inc,59.77862,-150.94015,WAT,HYDRO,0.392,126
Centennial,Metlakatla Power & Light,Metlakatla Power & Light,Alaska Miscellaneous,55.1139,-131.5481,DFO,OIL, -   ,3.3
Chester Lake,Metlakatla Power & Light,Metlakatla Power & Light,Alaska Miscellaneous,55.116879,-131.545879,WAT,HYDRO,0.681,1
Chevak,"Alaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc",Alaska Miscellaneous,61.479444,-165.499444,DFO,OIL,,1
Cooper Lake,Chugach Electric Assn Inc,Chugach Electric Assn Inc,Chugach Electric Assn Inc,60.392331,-149.665603,WAT,HYDRO,0.189,19.4
Craig (AK),Alaska Power and Telephone Co,Alaska Power and Telephone Co,Alaska Miscellaneous,55.4764,-133.1483,DFO,OIL,0.008,4.4
Delta Power,Golden Valley Elec Assn Inc,Golden Valley Elec Assn Inc,Alaska Miscellaneous,64.028056,-145.719444,DFO,OIL, -   ,23.1
Delta Wind Farm,Golden Valley Elec Assn Inc,Alaska Environmental Power,Alaska Miscellaneous,64.013889,-145.596667,WND,WIND,0.27,1.9
Dillingham,"Nushagak Electric Coop, Inc","Nushagak Electric Coop, Inc",Alaska Miscellaneous,59.6708,-157.89,DFO,OIL,0.197,10.7
Dutch Harbor,City of Unalaska - (AK),City of Unalaska - (AK),Alaska Miscellaneous,53.9761,-166.5361,DFO,OIL,0.205,26
Eielson AFB Central Heat & Power Plant,Golden Valley Elec Assn Inc,U S Air Force-Eielson AFB,Alaska Miscellaneous,64.67141,-147.075988,SUB,COAL,0.233,33.5
